Key,"English, en-US","French, fr","German, de","Polish, pl"
"""Employees""",Employees,Employés,Mitarbeiter,Pracownicy
"""First name""",First name,Prénom,Vorname,Imię
"""Last name""",Last name,Nom de famille,"Familienname, Nachname",Nazwisko
"""Phone""",Phone,Téléphone,Telefon,Telefon
"""Age""",Age,Âge,Alter,Wiek
"""New employee""",New employee,Nouvel employé,Neuer Angestellter,Nowy pracownik
,,,,
#ideas,,,,
"""Ideas""",Ideas,Idées,Ideen,Pomysły
"""Idea""",Idea,Idée,Idee,Pomysł
"""Idea title""",Idea title,Titre d'idée,Ideenentitel,Tytuł pomysłu
"""Idea description""",Idea description,Description de l'idée,Ideenbeschreibung,Opis pomysłu
"""Your submission landed in our system""",Your submission landed in our system,Votre soumission a atterri dans notre système,Ihre Einreichung landete in unserem System,Twoje zgłoszenie wylądowało w naszym systemie
"""Would you like to improve something more?""",Would you like to improve something more?,Souhaitez-vous améliorer quelque chose de plus?,Möchten Sie etwas mehr verbessern?,Czy chciałbyś poprawić coś więcej?
"""New idea""",New idea,Nouvelle idée,Neue Idee,Nowy pomysł
"""Delete:""",Delete:,Supprimer:,Löschen:,Usunąć:
"""Deleted:""",Deleted:,Supprimé:,Gelöscht:,Usunięte:
,,,,
#issues,,,,
"""Issues""",Issues,Questions,Themen,Problemy
"""Issue""",Issue,Problème,Ausgabe,Problem
"""Issue name""",Issue name,Nom d'émission,Ausgabe Name,Nazwa problemu
"""Issue description""",Issue description,Description du problème,Fehlerbeschreibung,Opis problemu
"""New issue""",New issue,Nouveau problème,Neues Problem,Nowy problem
,,,,
#items,,,,
"""Items""",Items,Articles,Artikel,Przedmioty
"""Item""",Item,Article,Artikel,Przedmiot
"""Item title""",Item title,Titre de l'article,Artikeltitel,Nazwa przedmiotu
"""Item description""",Item description,Description de l'article,Artikelbeschreibung,Opis przedmiotu
"""New item""",New item,Nouvel article,Neuer Gegenstand,Nowy element
,,,,
#timeline,,,,
"""Issue added""",Issue added,Problème ajouté,Problem hinzugefügt,Dodano problem
"""Issue accepted""",Issue accepted,Problème accepté,Ausgabe akzeptiert,Problem zaakceptowany
"""Issue rejected""",Issue rejected,Problème rejeté,Problem abgelehnt,Problem został odrzucony
"""New person assigned to issue""",New person assigned to issue,Nouvelle personne affectée à l'émission,"Neue Person, die zur Ausgabe zugewiesen ist",Nowa osoba przydzielona do problemu
"""Person removed from issue""",Person removed from issue,Personne supprimée du problème,Person von der Ausgabe entfernt,Osoba usunięta z problemu
"""Issue started""",Issue started,Le problème a commencé,Das Problem begann,Praca rozpoczęta
"""Issue paused""",Issue paused,Émission interrompue,Ausgabe machte eine Pause,Praca wstrzymana
"""Issue resumed""",Issue resumed,Le problème a repris,Problem wieder aufgenommen,Praca wznowiona
"""Issue resolved""",Issue resolved,Problème résolu,Problem gelöst,Problem rozwiązany
issue_add,Issue added,Problème ajouté,Problem hinzugefügt,Dodano problem
issue_accept,Issue accepted,Problème accepté,Ausgabe akzeptiert,Problem zaakceptowany
issue_add_person,New person assigned to issue,Nouvelle personne affectée à l'émission,"Neue Person, die zur Ausgabe zugewiesen ist",Nowa osoba przydzielona do problemu
issue_remove_person,Person removed from issue,Personne supprimée du problème,Person von der Ausgabe entfernt,Osoba usunięta z problemu
issue_start_progress,Issue started,Le problème a commencé,Das Problem begann,Praca rozpoczęta
issue_done,Issue done,Délivrer,Ausgabe gemacht,Wykonany problem
,,,,
,,,,
#guides,,,,
"""Guides""",Guides,Guides,Führer,Przewodniki
"""Guide""",Guide,Guide,Führung,Przewodnik
"""New guide""",New guide,Nouveau guide,Neuer Leitfaden,Nowy przewodnik
"""Guide name""",Guide name,Nom de guide,Leitfadenname,Nazwa przewodnika
"""Add new""",Add new,Ajouter un nouveau,Neue hinzufügen,Dodaj nowe
,,,,
#tasks,,,,
"""Action failed""",Action failed,Action: échoué,Aktion: fehlgeschlagen,Akcja: nieudana
"""Action was successful""",Action was successful,L'action a réussi,Aktion war erfolgreich,Działanie zakończyło się sukcesem
"""Work Time!""",Work Time!,Temps de travail!,Arbeitszeit!,Czas pracy!
"""Tasks""",Tasks,Tâches,Aufgaben,Zadania
"""Your tasks""",Your tasks,Vos tâches,Ihre Aufgaben,Twoje zadania
"""All tasks""",All tasks,Toutes les tâches,Alle Aufgaben,Wszystkie zadania
"""Task name""",Task name,Nom de la tâche,Aufgabennname,Nazwa zadania
"""Task description""",Task description,Description de la tâche,Aufgabenbeschreibung,Opis zadania
,,,,
#settings,,,,
"""Settings""",Settings,Paramètres,Einstellungen,Ustawienia
"""QR code""",QR code,QR Code,QR-Code,Kod QR
"""Submission type""",Submission type,Type de soumission,Einreichungstyp,Typ zgłoszenia
"""Anonymous""",Anonymous,Anonyme,Anonym,Anonimowy
"""Anonymous with required confirmation""",Anonymous with required confirmation,Anonyme de la confirmation requise,Anonymous mit der erforderlichen Bestätigung,Anonimowy z wymaganym potwierdzeniem
"""Only for logged users""",Only for logged users,Uniquement pour les utilisateurs enregistrés,Nur für protokollierte Benutzer,Tylko dla zalogowanych użytkowników
"""You must have an account""",You must have an account,Vous devez avoir un compte,Sie müssen ein Konto haben,Musisz mieć konto
,,,,
#permissions,,,,
"""Permissions""",Permissions,Autorisation,Berechtigungen,Uprawnienia
"""Permission""",Permission,Autorisation,Erlaubnis,Pozwolenie
"""New permission""",New permission,Nouvelle autorisation,Neue Erlaubnis,Nowe pozwolenie
"""Role""",Role,Rôle,Rolle,Rola
,,,,
#permissions_list,,,,
"""Show users list""",Show users list,Afficher la liste des utilisateurs,Benutzerliste anzeigen,Pokaż listę użytkowników
"""User can view list of other users""",User can view list of other users,L'utilisateur peut afficher la liste des autres utilisateurs,Der Benutzer kann die Liste anderer Benutzer anzeigen,Użytkownik może wyświetlić listę innych użytkowników
"""Adding users""",Adding users,Ajout d'utilisateurs,Benutzer hinzufügen,Dodawanie użytkowników
"""User can create new user accounts""",User can create new user accounts,L'utilisateur peut créer de nouveaux comptes d'utilisateurs,Benutzer können neue Benutzerkonten erstellen,Użytkownik może tworzyć nowe konta użytkowników
"""Users editing""",Users editing,Édition des utilisateurs,Benutzer bearbeiten,Edycja użytkowników
"""User can edit other users accounts""",User can edit other users accounts,L'utilisateur peut modifier d'autres comptes d'utilisateurs,Benutzer können andere Benutzerkonten bearbeiten,Użytkownik może edytować konta innych użytkowników
"""Account editing""",Account editing,Édition de compte,Kontobearbeitung,Edycja konta
"""Allow to edit my user account""",Allow to edit my user account,Autoriser la modification de mon compte utilisateur,"Erlauben Sie, mein Benutzerkonto zu bearbeiten",Pozwól edytować moje konto użytkownika
"""Removing users""",Removing users,Suppression des utilisateurs,Benutzer entfernen,Usuwanie użytkowników
"""User can delete others users accounts""",User can delete others users accounts,L'utilisateur peut supprimer d'autres comptes d'utilisateurs,Der Benutzer kann andere Benutzerkonten löschen,Użytkownik może usunąć kont innych użytkowników
"""Importing users""",Importing users,Importation d'utilisateurs,Benutzer importieren,Importowanie użytkowników
"""User can import  users data from CSV file""",User can import  users data from CSV file,L'utilisateur peut importer les données des utilisateurs à partir du fichier CSV,Benutzer können Benutzerdaten aus der CSV -Datei importieren,Użytkownik może importować dane użytkowników z pliku CSV
"""Exporting users""",Exporting users,Exportation des utilisateurs,Benutzer exportieren,Eksportowanie użytkowników
"""User can export users data to CSV""",User can export users data to CSV,L'utilisateur peut exporter les données des utilisateurs vers CSV,Der Benutzer kann Benutzerdaten in CSV exportieren,Użytkownik może eksportować dane użytkowników do CSV
"""Show issues list""",Show issues list,Afficher la liste des problèmes,Issue List anzeigen,Pokaż listę problemów
"""User can view list of issues""",User can view list of issues,L'utilisateur peut afficher la liste des problèmes,Benutzer kann die Liste der Probleme anzeigen,Użytkownik może wyświetlić listę problemów
"""Adding issues""",Adding issues,Ajout de problèmes,Hinzufügen von Problemen,Dodawanie problemów
"""User can create new issues""",User can create new issues,L'utilisateur peut créer de nouveaux problèmes,Der Benutzer kann neue Probleme erstellen,Użytkownik może tworzyć nowe problemy
"""Issue editing""",Issue editing,Édition de problèmes,Ausgabebearbeitung,Edycja wydania
"""User can edit issue""",User can edit issue,L'utilisateur peut modifier le problème,Benutzer kann das Problem bearbeiten,Użytkownik może edytować problem
"""Removing issues""",Removing issues,Supprimer les problèmes,Probleme entfernen,Usuwanie problemów
"""User can delete existing issues""",User can delete existing issues,L'utilisateur peut supprimer les problèmes existants,Der Benutzer kann vorhandene Probleme löschen,Użytkownik może usunąć istniejące problemy
"""Exclude issues""",Exclude issues,Exclure les problèmes,Probleme ausschließen,Wykluczyć problemy
"""Exclude selected issues from statistics""",Exclude selected issues from statistics,Exclure les problèmes sélectionnés des statistiques,Ausgewählte Probleme aus der Statistik ausschließen,Wykluczyć wybrane problemy ze statystyk
"""Assign user to issue""",Assign user to issue,Affecter l'utilisateur à émettre,Benutzer zuweisen zu einer Ausgabe zuweisen,Przypisz użytkownika do wydania
"""Allow user to assign others users""",Allow user to assign others users,Permettre à l'utilisateur d'attribuer d'autres utilisateurs,"Erlauben Sie dem Benutzer, anderen Benutzern zuweisen",Pozwól użytkownikowi przypisać innym użytkownikom
"""Manage work""",Manage work,Gérer le travail,Arbeit verwalten,Zarządzaj pracą
"""Allow to Start, Pause and Finish  work""","Allow to Start, Pause and Finish  work","Permettre de commencer, de faire une pause et de terminer le travail","Starten, innehalten und die Arbeit beenden","Pozwól, aby rozpocząć, zatrzymać i zakończyć pracę"
"""Show issue history""",Show issue history,Montrer l'histoire de la question,Ausgabehistorie zeigen,Pokaż historię wydania
"""Show issue history graph""",Show issue history graph,Afficher le graphique de l'historique des problèmes,Issue History Diagramm anzeigen,Pokaż wykres historii wydania
"""Show replaced parts""",Show replaced parts,Afficher les pièces remplacées,Show Teile ersetzt,Pokaż wymienione części
"""Allow to show, add, remove list of replaced parts""","Allow to show, add, remove list of replaced parts","Laisser afficher, ajouter, supprimer la liste des pièces remplacées","Zeigen Sie die Liste der ersetzten Teile anzeigen, hinzufügen, hinzufügen, entfernen, entfernen","Pozwól, aby pokazać, dodać, usuń listę wymienionych części"
"""Show items list""",Show items list,Afficher la liste des éléments,Elemente Liste anzeigen,Pokaż listę przedmiotów
"""User can view list of items""",User can view list of items,L'utilisateur peut afficher la liste des éléments,Benutzer kann die Liste der Elemente anzeigen,Użytkownik może wyświetlić listę elementów
"""Adding items""",Adding items,Ajout d'articles,Hinzufügen von Elementen,Dodawanie elementów
"""User can create new items""",User can create new items,L'utilisateur peut créer de nouveaux éléments,Der Benutzer kann neue Elemente erstellen,Użytkownik może tworzyć nowe elementy
"""Item editing""",Item editing,Édition d'articles,Artikelbearbeitung,Edycja przedmiotów
"""User can edit item""",User can edit item,L'utilisateur peut modifier l'élément,Benutzer kann das Element bearbeiten,Użytkownik może edytować element
"""Hide items""",Hide items,Masquer les éléments,Gegenstände verbergen,Ukryj przedmioty
"""User can hide existing item""",User can hide existing item,L'utilisateur peut masquer l'élément existant,Der Benutzer kann vorhandenes Element ausblenden,Użytkownik może ukryć istniejący element
"""Removing items""",Removing items,Retirer les articles,Gegenstände entfernen,Usuwanie elementów
"""User can delete existing item""",User can delete existing item,L'utilisateur peut supprimer l'élément existant,Der Benutzer kann vorhandenes Element löschen,Użytkownik może usunąć istniejący element
"""Show QR code""",Show QR code,Afficher le code QR,QR -Code anzeigen,Pokaż kod QR
"""Show QR code assigned to item""",Show QR code assigned to item,Afficher le code QR attribué à l'élément,"QR -Code anzeigen, der dem Element zugewiesen ist",Pokaż kod QR przypisany do elementu
"""Show item history""",Show item history,Afficher l'historique des articles,Artikelhistorie anzeigen,Pokaż historię przedmiotów
"""Show item history graph""",Show item history graph,Afficher le graphique de l'historique des éléments,Element History Diagramm anzeigen,Pokaż wykres historii pozycji
,,,,
,,,,
,,,,
,,,,
#roles,,,,
"""Admin""",Admin,Administrer,Administrator,Admin
"""Main admin""",Main admin,Administrateur principal,Hauptadmin,Główny administrator
,,,,
#groups,,,,
"""Groups""",Groups,Groupes,Gruppen,Grupy
"""Group""",Group,Groupe,Gruppe,Grupa
"""New group""",New group,Nouveau groupe,Neue Gruppe,Nowa grupa
"""No groups, add a first one!""","No groups, add a first one!","Pas de groupes, ajoutez-en un premier!","Keine Gruppen, füge einen ersten hinzu!","Bez grup, dodaj pierwszy!"
,,,,
#TipTap,,,,
"""What's the title?""",What's the title?,Quel est le titre?,Wie lautet der Titel?,Jaki jest tytuł?
"""Can you add some further context? Use @ to mention users, # for groups""","Can you add some further context? Use @ to mention users, # for groups","Pouvez-vous ajouter un contexte supplémentaire? Utiliser @ pour mentionner les utilisateurs, # pour les groupes","Können Sie einen weiteren Kontext hinzufügen? Verwenden Sie @, um Benutzer zu erwähnen, # für Gruppen","Czy możesz dodać jakiś dalszy kontekst? Użyj @, aby wspomnieć o użytkownikach, # dla grup"
